ID,Scenario,Question,Source,source_consistency,superfluous_elements,framing_bias,eval_terms,structural_assumption,NOTES,
,"Anna wants to experience live music with the aid of haptic technology. Anna, who became hearing impaired in later life, attends a concert by The Blockheads at the Stables music venue with a friend Ben who is deaf from birth, and her hearing friend Caroline. In order to enhance their experience of the concert, they decide to use the haptic bracelets offered by the venue. Anna is a big fan of the bass player Norman Watt Roy, whereas her friend is interested in the drums played by John Roberts. For tonight’s performance, the Stables are offering a live automatic haptic transcription of the bass part. The Stables have also hired a musical interpreter for the hearing impaired who will be communicating the overall performance using an electronic drum kit from which a haptic feed is available. As a third option, a chest-worn transducer is available that takes the audio feed and turns the wearer’s chest cavity into a bass woofer. Anna used the bass transcription. Ben opted for the live interpretation. During ‘Hit me with your rhythm stick’ Anna grabs the hand of her hearing friend Caroline in excitement and puts it on her wrist to feel the bass rhythm. Anna and Ben sign to each other during the first two songs, and decide to swap feeds for the third.

When they hand the equipment back in at the end of the gig, the Stables staff point out that there is a summer workshop being run for hearing impared beginner drummers using a full drum kit and bracelets on all four limbs.",What type of haptic technology is offered by the Stables music venue for enhancing the concert experience?,OntoChat,No,0,No,0,0,,
,"Anna wants to experience live music with the aid of haptic technology. Anna, who became hearing impaired in later life, attends a concert by The Blockheads at the Stables music venue with a friend Ben who is deaf from birth, and her hearing friend Caroline. In order to enhance their experience of the concert, they decide to use the haptic bracelets offered by the venue. Anna is a big fan of the bass player Norman Watt Roy, whereas her friend is interested in the drums played by John Roberts. For tonight’s performance, the Stables are offering a live automatic haptic transcription of the bass part. The Stables have also hired a musical interpreter for the hearing impaired who will be communicating the overall performance using an electronic drum kit from which a haptic feed is available. As a third option, a chest-worn transducer is available that takes the audio feed and turns the wearer’s chest cavity into a bass woofer. Anna used the bass transcription. Ben opted for the live interpretation. During ‘Hit me with your rhythm stick’ Anna grabs the hand of her hearing friend Caroline in excitement and puts it on her wrist to feel the bass rhythm. Anna and Ben sign to each other during the first two songs, and decide to swap feeds for the third.

When they hand the equipment back in at the end of the gig, the Stables staff point out that there is a summer workshop being run for hearing impared beginner drummers using a full drum kit and bracelets on all four limbs.",What is the summer workshop being run for hearing impaired beginner drummers?,OntoChat,No,0,No,0,0,,
,"Anna wants to experience live music with the aid of haptic technology. Anna, who became hearing impaired in later life, attends a concert by The Blockheads at the Stables music venue with a friend Ben who is deaf from birth, and her hearing friend Caroline. In order to enhance their experience of the concert, they decide to use the haptic bracelets offered by the venue. Anna is a big fan of the bass player Norman Watt Roy, whereas her friend is interested in the drums played by John Roberts. For tonight’s performance, the Stables are offering a live automatic haptic transcription of the bass part. The Stables have also hired a musical interpreter for the hearing impaired who will be communicating the overall performance using an electronic drum kit from which a haptic feed is available. As a third option, a chest-worn transducer is available that takes the audio feed and turns the wearer’s chest cavity into a bass woofer. Anna used the bass transcription. Ben opted for the live interpretation. During ‘Hit me with your rhythm stick’ Anna grabs the hand of her hearing friend Caroline in excitement and puts it on her wrist to feel the bass rhythm. Anna and Ben sign to each other during the first two songs, and decide to swap feeds for the third.

When they hand the equipment back in at the end of the gig, the Stables staff point out that there is a summer workshop being run for hearing impared beginner drummers using a full drum kit and bracelets on all four limbs.",What feed did Anna and Ben decide to swap during the concert?,OntoChat,No,0,No,0,0,,
,"David is interested in understanding the social history of music, e.g. who were the musicians, who was the audience, how did a particular musical environment relate to the wider musical environment. He has a particular interest in understanding the environment around music which would not be classified as 'elite' music. He is also interested in people's experience of listening to music. David will work for several years collecting information, e.g. about brass bands, and populating a database with this information, as a preparation for writing a book. David's work could be helped by:

sonic visualization, e.g. to recognise 'thumbprints' to identify the composer of a piece of music;

search of document database using RDF annotations and query-time reasoning;

NLP, e.g. to suggest relevant keywords for annotation; including using some semantics, e.g. proposing an annotation which does not occur in the text.",Where were the places (in which they played)?,gold,Yes,1: places,Yes,0,1: they,capire bene + they non chiaro. where come parte di environment,
,"David is interested in understanding the social history of music, e.g. who were the musicians, who was the audience, how did a particular musical environment relate to the wider musical environment. He has a particular interest in understanding the environment around music which would not be classified as 'elite' music. He is also interested in people's experience of listening to music. David will work for several years collecting information, e.g. about brass bands, and populating a database with this information, as a preparation for writing a book. David's work could be helped by:

sonic visualization, e.g. to recognise 'thumbprints' to identify the composer of a piece of music;

search of document database using RDF annotations and query-time reasoning;

NLP, e.g. to suggest relevant keywords for annotation; including using some semantics, e.g. proposing an annotation which does not occur in the text.",Where were the musicians coming from?,gold,Yes,1: coming from?,No,0,0,coming from?capire  ,
,"David is interested in understanding the social history of music, e.g. who were the musicians, who was the audience, how did a particular musical environment relate to the wider musical environment. He has a particular interest in understanding the environment around music which would not be classified as 'elite' music. He is also interested in people's experience of listening to music. David will work for several years collecting information, e.g. about brass bands, and populating a database with this information, as a preparation for writing a book. David's work could be helped by:

sonic visualization, e.g. to recognise 'thumbprints' to identify the composer of a piece of music;

search of document database using RDF annotations and query-time reasoning;

NLP, e.g. to suggest relevant keywords for annotation; including using some semantics, e.g. proposing an annotation which does not occur in the text.",Who were the musicians involved in non-elite music?,OntoChat,No,0,Yes,1: non-elite,0,elite not defined and so also non-elite,
,"David is interested in understanding the social history of music, e.g. who were the musicians, who was the audience, how did a particular musical environment relate to the wider musical environment. He has a particular interest in understanding the environment around music which would not be classified as 'elite' music. He is also interested in people's experience of listening to music. David will work for several years collecting information, e.g. about brass bands, and populating a database with this information, as a preparation for writing a book. David's work could be helped by:

sonic visualization, e.g. to recognise 'thumbprints' to identify the composer of a piece of music;

search of document database using RDF annotations and query-time reasoning;

NLP, e.g. to suggest relevant keywords for annotation; including using some semantics, e.g. proposing an annotation which does not occur in the text.",How did the particular musical environment relate to the wider musical environment?,OntoChat,No,0,No,0,0,0,
,"David is interested in understanding the social history of music, e.g. who were the musicians, who was the audience, how did a particular musical environment relate to the wider musical environment. He has a particular interest in understanding the environment around music which would not be classified as 'elite' music. He is also interested in people's experience of listening to music. David will work for several years collecting information, e.g. about brass bands, and populating a database with this information, as a preparation for writing a book. David's work could be helped by:

sonic visualization, e.g. to recognise 'thumbprints' to identify the composer of a piece of music;

search of document database using RDF annotations and query-time reasoning;

NLP, e.g. to suggest relevant keywords for annotation; including using some semantics, e.g. proposing an annotation which does not occur in the text.",What was the audience like for non-elite music?,OntoChat,No,0,Yes,non-elite,0,justified by scenario (contrary of elite),
,"David is interested in understanding the social history of music, e.g. who were the musicians, who was the audience, how did a particular musical environment relate to the wider musical environment. He has a particular interest in understanding the environment around music which would not be classified as 'elite' music. He is also interested in people's experience of listening to music. David will work for several years collecting information, e.g. about brass bands, and populating a database with this information, as a preparation for writing a book. David's work could be helped by:

sonic visualization, e.g. to recognise 'thumbprints' to identify the composer of a piece of music;

search of document database using RDF annotations and query-time reasoning;

NLP, e.g. to suggest relevant keywords for annotation; including using some semantics, e.g. proposing an annotation which does not occur in the text.",How can sonic visualization be used to identify the composer of a piece of music?,OntoChat,No,0,No,0,0,0,
,"David is interested in understanding the social history of music, e.g. who were the musicians, who was the audience, how did a particular musical environment relate to the wider musical environment. He has a particular interest in understanding the environment around music which would not be classified as 'elite' music. He is also interested in people's experience of listening to music. David will work for several years collecting information, e.g. about brass bands, and populating a database with this information, as a preparation for writing a book. David's work could be helped by:

sonic visualization, e.g. to recognise 'thumbprints' to identify the composer of a piece of music;

search of document database using RDF annotations and query-time reasoning;

NLP, e.g. to suggest relevant keywords for annotation; including using some semantics, e.g. proposing an annotation which does not occur in the text.",How can NLP suggest relevant keywords for annotation in the context of music history research?,OntoChat,No,0,Yes,1: relevant,0,"justified by scenario, not clear",
,"For her next research project, Amy wants to discover artistic and technical trends of organs and how these developed. The development of these trends could possibly indicate wider social trends. During the project, Amy researches both artistic and technical trends surrounding organs in the Netherlands. Amy is interested in finding connections between different regions and time periods to see how the trends have developed. She also wants to put her findings in a historical and social context. Amy hopes that the knowledge graphs can help her identify initial trends. That way she knows where to dig deeper to understand the trends. In order to discover trends, comparisons similar to those needed by the organ advisor (Paul) are required. But besides the comparison of stops in organs made by the same organ builder, the comparisons can be related to almost every component of the organ. For example, the different arthistorical details on the fronts of the organs, or the wind supply system are interesting to compare.
    Amy already has access to the physical as well as online library of the university where she works.
    Amy also has the entire 15 volume collection from the Dutch organ encyclopaedia. She uses the encyclopaedia mostly for reading about the arthistorical and technical aspects and developments of organs and comparing these to other organs.
    Database websites for information about organs and churches which all offer slightly different kinds of information:
        https://www.kerk-en-orgel.nl
        https://reliwiki.nl/
        http://www.orgbase.nl
        https://geoplaza.vu.nl/cms/research/kerkenkaart/ – Kerkenkaart (churchmap) from the Vrije Universiteit Amsterdam
",What was the disposition of the organ at a specific point in time?,gold,Yes,disposition//point in time,No,0,0,disposition/point in time?,
,"For her next research project, Amy wants to discover artistic and technical trends of organs and how these developed. The development of these trends could possibly indicate wider social trends. During the project, Amy researches both artistic and technical trends surrounding organs in the Netherlands. Amy is interested in finding connections between different regions and time periods to see how the trends have developed. She also wants to put her findings in a historical and social context. Amy hopes that the knowledge graphs can help her identify initial trends. That way she knows where to dig deeper to understand the trends. In order to discover trends, comparisons similar to those needed by the organ advisor (Paul) are required. But besides the comparison of stops in organs made by the same organ builder, the comparisons can be related to almost every component of the organ. For example, the different arthistorical details on the fronts of the organs, or the wind supply system are interesting to compare.
    Amy already has access to the physical as well as online library of the university where she works.
    Amy also has the entire 15 volume collection from the Dutch organ encyclopaedia. She uses the encyclopaedia mostly for reading about the arthistorical and technical aspects and developments of organs and comparing these to other organs.
    Database websites for information about organs and churches which all offer slightly different kinds of information:
        https://www.kerk-en-orgel.nl
        https://reliwiki.nl/
        http://www.orgbase.nl
        https://geoplaza.vu.nl/cms/research/kerkenkaart/ – Kerkenkaart (churchmap) from the Vrije Universiteit Amsterdam
",What are the artistic trends surrounding organs in the Netherlands?,OntoChat,No,0,No,0,0,,
,"For her next research project, Amy wants to discover artistic and technical trends of organs and how these developed. The development of these trends could possibly indicate wider social trends. During the project, Amy researches both artistic and technical trends surrounding organs in the Netherlands. Amy is interested in finding connections between different regions and time periods to see how the trends have developed. She also wants to put her findings in a historical and social context. Amy hopes that the knowledge graphs can help her identify initial trends. That way she knows where to dig deeper to understand the trends. In order to discover trends, comparisons similar to those needed by the organ advisor (Paul) are required. But besides the comparison of stops in organs made by the same organ builder, the comparisons can be related to almost every component of the organ. For example, the different arthistorical details on the fronts of the organs, or the wind supply system are interesting to compare.
    Amy already has access to the physical as well as online library of the university where she works.
    Amy also has the entire 15 volume collection from the Dutch organ encyclopaedia. She uses the encyclopaedia mostly for reading about the arthistorical and technical aspects and developments of organs and comparing these to other organs.
    Database websites for information about organs and churches which all offer slightly different kinds of information:
        https://www.kerk-en-orgel.nl
        https://reliwiki.nl/
        http://www.orgbase.nl
        https://geoplaza.vu.nl/cms/research/kerkenkaart/ – Kerkenkaart (churchmap) from the Vrije Universiteit Amsterdam
",How have the technical trends of organs developed over time in the Netherlands?,OntoChat,No,0,No,0,0,,
,"For her next research project, Amy wants to discover artistic and technical trends of organs and how these developed. The development of these trends could possibly indicate wider social trends. During the project, Amy researches both artistic and technical trends surrounding organs in the Netherlands. Amy is interested in finding connections between different regions and time periods to see how the trends have developed. She also wants to put her findings in a historical and social context. Amy hopes that the knowledge graphs can help her identify initial trends. That way she knows where to dig deeper to understand the trends. In order to discover trends, comparisons similar to those needed by the organ advisor (Paul) are required. But besides the comparison of stops in organs made by the same organ builder, the comparisons can be related to almost every component of the organ. For example, the different arthistorical details on the fronts of the organs, or the wind supply system are interesting to compare.
    Amy already has access to the physical as well as online library of the university where she works.
    Amy also has the entire 15 volume collection from the Dutch organ encyclopaedia. She uses the encyclopaedia mostly for reading about the arthistorical and technical aspects and developments of organs and comparing these to other organs.
    Database websites for information about organs and churches which all offer slightly different kinds of information:
        https://www.kerk-en-orgel.nl
        https://reliwiki.nl/
        http://www.orgbase.nl
        https://geoplaza.vu.nl/cms/research/kerkenkaart/ – Kerkenkaart (churchmap) from the Vrije Universiteit Amsterdam
",How can the development of organ trends indicate wider social trends?,OntoChat,No,0,No,0,0,,
,"For her next research project, Amy wants to discover artistic and technical trends of organs and how these developed. The development of these trends could possibly indicate wider social trends. During the project, Amy researches both artistic and technical trends surrounding organs in the Netherlands. Amy is interested in finding connections between different regions and time periods to see how the trends have developed. She also wants to put her findings in a historical and social context. Amy hopes that the knowledge graphs can help her identify initial trends. That way she knows where to dig deeper to understand the trends. In order to discover trends, comparisons similar to those needed by the organ advisor (Paul) are required. But besides the comparison of stops in organs made by the same organ builder, the comparisons can be related to almost every component of the organ. For example, the different arthistorical details on the fronts of the organs, or the wind supply system are interesting to compare.
    Amy already has access to the physical as well as online library of the university where she works.
    Amy also has the entire 15 volume collection from the Dutch organ encyclopaedia. She uses the encyclopaedia mostly for reading about the arthistorical and technical aspects and developments of organs and comparing these to other organs.
    Database websites for information about organs and churches which all offer slightly different kinds of information:
        https://www.kerk-en-orgel.nl
        https://reliwiki.nl/
        http://www.orgbase.nl
        https://geoplaza.vu.nl/cms/research/kerkenkaart/ – Kerkenkaart (churchmap) from the Vrije Universiteit Amsterdam
",What connections can be found between different regions and time periods regarding organ trends in the Netherlands?,OntoChat,No,0,No,0,0,,
,"For her next research project, Amy wants to discover artistic and technical trends of organs and how these developed. The development of these trends could possibly indicate wider social trends. During the project, Amy researches both artistic and technical trends surrounding organs in the Netherlands. Amy is interested in finding connections between different regions and time periods to see how the trends have developed. She also wants to put her findings in a historical and social context. Amy hopes that the knowledge graphs can help her identify initial trends. That way she knows where to dig deeper to understand the trends. In order to discover trends, comparisons similar to those needed by the organ advisor (Paul) are required. But besides the comparison of stops in organs made by the same organ builder, the comparisons can be related to almost every component of the organ. For example, the different arthistorical details on the fronts of the organs, or the wind supply system are interesting to compare.
    Amy already has access to the physical as well as online library of the university where she works.
    Amy also has the entire 15 volume collection from the Dutch organ encyclopaedia. She uses the encyclopaedia mostly for reading about the arthistorical and technical aspects and developments of organs and comparing these to other organs.
    Database websites for information about organs and churches which all offer slightly different kinds of information:
        https://www.kerk-en-orgel.nl
        https://reliwiki.nl/
        http://www.orgbase.nl
        https://geoplaza.vu.nl/cms/research/kerkenkaart/ – Kerkenkaart (churchmap) from the Vrije Universiteit Amsterdam
",How can historical and social contexts be applied to the findings of organ trends in the Netherlands?,OntoChat,No,0,No,0,0,,
,"Mark is interested in understanding how Dutch folk tunes relate to other music, e.g. from French court operas.Starting from a collection of Dutch folk tunes, Mark attempts to relate these tunes to other documented music, using a variety of databases. Mark would like to relate individual pieces of music, but also repertoires generally. He would also like to understand musical evolution and transmission over time. Mark works with:

RISM index of musical sources, composers etc https://opac.rism.info/main-menu-/kachelmenu with the ability to search on names and music

NEUMA, a digital library of musical scores http://neuma.huma-num.fr/home/presentation

ABC notation database http://abcnotation.com/

Database of Dutch tunes http://www.liederenban.nl and http://www.liederebank.nl/mtc

Early American Secular Music and its European sources http://www.cdss.org/elibrary/Easmes/Index.htm

Mark's work could be helped by:

Connection to other databases, so that he could automatically query a range of databases",Has composition X been identified as variant in a tune family?,gold,Yes,1: tune family,No,0,0,,
,"Mark is interested in understanding how Dutch folk tunes relate to other music, e.g. from French court operas.Starting from a collection of Dutch folk tunes, Mark attempts to relate these tunes to other documented music, using a variety of databases. Mark would like to relate individual pieces of music, but also repertoires generally. He would also like to understand musical evolution and transmission over time. Mark works with:

RISM index of musical sources, composers etc https://opac.rism.info/main-menu-/kachelmenu with the ability to search on names and music

NEUMA, a digital library of musical scores http://neuma.huma-num.fr/home/presentation

ABC notation database http://abcnotation.com/

Database of Dutch tunes http://www.liederenban.nl and http://www.liederebank.nl/mtc

Early American Secular Music and its European sources http://www.cdss.org/elibrary/Easmes/Index.htm

Mark's work could be helped by:

Connection to other databases, so that he could automatically query a range of databases",Which tune family does composition X belong to?,gold,Yes,1: tune family,No,0,0,,
,"Mark is interested in understanding how Dutch folk tunes relate to other music, e.g. from French court operas.Starting from a collection of Dutch folk tunes, Mark attempts to relate these tunes to other documented music, using a variety of databases. Mark would like to relate individual pieces of music, but also repertoires generally. He would also like to understand musical evolution and transmission over time. Mark works with:

RISM index of musical sources, composers etc https://opac.rism.info/main-menu-/kachelmenu with the ability to search on names and music

NEUMA, a digital library of musical scores http://neuma.huma-num.fr/home/presentation

ABC notation database http://abcnotation.com/

Database of Dutch tunes http://www.liederenban.nl and http://www.liederebank.nl/mtc

Early American Secular Music and its European sources http://www.cdss.org/elibrary/Easmes/Index.htm

Mark's work could be helped by:

Connection to other databases, so that he could automatically query a range of databases",Who assigned composition X to tune family Y?,gold,Yes,1: tune family,No,0,0,,
,"Mark is interested in understanding how Dutch folk tunes relate to other music, e.g. from French court operas.Starting from a collection of Dutch folk tunes, Mark attempts to relate these tunes to other documented music, using a variety of databases. Mark would like to relate individual pieces of music, but also repertoires generally. He would also like to understand musical evolution and transmission over time. Mark works with:

RISM index of musical sources, composers etc https://opac.rism.info/main-menu-/kachelmenu with the ability to search on names and music

NEUMA, a digital library of musical scores http://neuma.huma-num.fr/home/presentation

ABC notation database http://abcnotation.com/

Database of Dutch tunes http://www.liederenban.nl and http://www.liederebank.nl/mtc

Early American Secular Music and its European sources http://www.cdss.org/elibrary/Easmes/Index.htm

Mark's work could be helped by:

Connection to other databases, so that he could automatically query a range of databases",With what level of confidence is composition X a variant in tune family Y?,gold,Yes,"2: tune family, level of confidence",Yes,0,"1: level of confidence
",,
,"Mark is interested in understanding how Dutch folk tunes relate to other music, e.g. from French court operas.Starting from a collection of Dutch folk tunes, Mark attempts to relate these tunes to other documented music, using a variety of databases. Mark would like to relate individual pieces of music, but also repertoires generally. He would also like to understand musical evolution and transmission over time. Mark works with:

RISM index of musical sources, composers etc https://opac.rism.info/main-menu-/kachelmenu with the ability to search on names and music

NEUMA, a digital library of musical scores http://neuma.huma-num.fr/home/presentation

ABC notation database http://abcnotation.com/

Database of Dutch tunes http://www.liederenban.nl and http://www.liederebank.nl/mtc

Early American Secular Music and its European sources http://www.cdss.org/elibrary/Easmes/Index.htm

Mark's work could be helped by:

Connection to other databases, so that he could automatically query a range of databases",What are all compositions in tune family X?,gold,Yes,1: tune family,No,0,0,,
