dataset,group,scenario_short,cq,annotation_source,superfluous_elements,eval_terms,se_justified,superfluous_elements_correct,eval_terms_correct,se_justified_correct,notes
IntelligentBathrooms,NeoNGPT_GPT4o,I was brushing my teeth in the bathroom on Thursday morning. Morning is between 6 and 10am according to the current user,What are the personal hygiene activities included in the ontology?,llm,1: ontology,0,Not Justified,,,,
IntelligentBathrooms,NeoNGPT_Qwen3,The system asks me if I want to order tickets to a proposed event if there are tickets available. I am presented with a ,"**List of Competency Questions (CQs):**  
CQ1",llm,1: List of Competency Questions (CQs),0,Not Justified,,,,
IntelligentBathrooms,Gold,"There is a sneak preview of an action film called ""X-men"" today at 8pm at CinemaOne.",What is the start and end time of this event?,llm,1: end time,0,Not Justified,,,,
IntelligentBathrooms,NeoNGPT_Qwen3,"There is a sneak preview of an action film called ""X-men"" today at 8pm at CinemaOne.","**Note:** The actual list of competency questions (CQs) is intentionally omitted here to comply with the user's instruction to avoid generating the full list. However, the assistant would generate a complete, semicolon-separated list of CQs covering all core elements (movies, events, venues, people, genres, relationships, inference, and queries) based on the provided ontology requirements.",llm,1: competency questions,0,Not Justified,,,,
IntelligentBathrooms,NeoNGPT_Qwen3,I am living in Berlin and I like to get the local weather displayed in the morning as soon as I am brushing my teeth.,What weather parameters are modeled in the ontology for Berlin during the morning?,llm,"2: parameters, modeled in the ontology",0,Not Justified,,,,
IntelligentBathrooms,OntoChat,"There is a sneak preview of an action film called ""X-men"" today at 8pm at CinemaOne.",What is the title of the action film?,llm,0,0,N/A,,,,
IntelligentBathrooms,OntoChat,"There are many different weather services available online, I prefer www.yr.no. My preferred configuration of the servic",What is the preferred configuration of the weather service?,llm,0,1: preferred,N/A,,,,
IntelligentBathrooms,NeoNGPT_Qwen3,"I like going to the movies when it is raining, and I especially like to see action movies.","What are the user preferences for movies during ""Sunny"" weather?",llm,1: Sunny,0,Not Justified,,,,
IntelligentBathrooms,NeoNGPT_GPT4o,"When I am standing in front of the mirror brushing my teeth the weather is displayed as graphics on the mirror, but when",What provisions are made for the scalability of the smart bathroom system?,llm,1: scalability,0,Not Justified,,,,
IntelligentBathrooms,Gold,I am living in Berlin and I like to get the local weather displayed in the morning as soon as I am brushing my teeth.,What is the system action preferred by this user in this particular context?,llm,"2: system action, preferred",0,Justified,,,,
WHOW,OntoChat,"Sage, a water resource manager with a background in environmental science, is tasked with overseeing the sustainability ",What are the sub-water basins contained within a specific water basin?,llm,0,0,N/A,,,,
WHOW,NeoNGPT_GPT4o,"Sage, a water resource manager with a background in environmental science, is tasked with overseeing the sustainability ",What are the different types of water bodies classified in the ontology?,llm,0,0,N/A,,,,
WHOW,Gold,"Sage, a water resource manager with a background in environmental science, is tasked with overseeing the sustainability ",What types of water bodies can be listed?,llm,0,0,N/A,,,,
CVN,Gold,"An inventory consists of products (materials) and their quantities and locations, and is produced before dismantling. A ",What materials does a product consist of?,llm,0,0,N/A,,,,
CVN,NeoNGPT_GPT4o,Actors collaborate to achieve the value proposition of the circular value network. Each actor is responsible for one or ,What potential scenarios and outcomes can be modeled using the ontology?,llm,"1: potential scenarios, outcomes, modeled, ontology",0,Not Justified,,,,
CVN,NeoNGPT_GPT4o,A circular value network has some process which outlines work done by different actors in this network,1. What are the different types of actors involved in the circular value network?,llm,0,0,N/A,,,,
CVN,Gold,Resources are what is worked on in the circular value network. Resources are used as inputs but could also be outputs fr,What is the type of a specific resource?,llm,0,0,N/A,,,,
CVN,NeoNGPT_Qwen3,"There are several actors involved in a construction use case/circular value flow, each holding some roles in a certain m","How does the ontology integrate with existing ontologies (e.g., SAREF, CONSTRUCT)?",llm,1: integrate with existing ontologies,0,Not Justified,,,,
CVN,NeoNGPT_GPT4o,"Recycling of a product may depend on its material composition, efficiency of recycling.",9. What are the environmental impacts associated with recycling a specific material?,llm,1: environmental impacts,0,Not Justified,,,,
CVN,OntoChat,"A manufacturer of a product needs to understand the composition and origin of the materials, as well as their production",Where do the materials come from?,llm,0,0,N/A,,,,
CVN,Gold,"Recycling of a product may depend on its material composition, efficiency of recycling.",What are the materials of this component or product?,llm,0,0,N/A,,,,
CVN,OntoChat,"Recycling of a product may depend on its material composition, efficiency of recycling.",How does the efficiency of recycling impact the recycling process of a product?,llm,0,1: efficiency,N/A,,,,
CVN,NeoNGPT_GPT4o,"An inventory consists of products (materials) and their quantities and locations, and is produced before dismantling. A ","1. What are the attributes of a specific product, including type, quantity, and location?",llm,0,0,N/A,,,,
